-------- ENCODAGE MIRE ORIGINALE --------
-------- ((x,y),(codage_voisin_0_degree),(codage_voisin_90_degree),(codage_voisin_180_degree),(codage_voisin_270_degree)) --------

(222, 489), 01NNN0120, 0NN01201N, 001201NNN, 0201NNN01
(420, 488), 02NNN2201, 0NN22012N, 022012NNN, 0012NNN22
(91, 489), 01NNN2012, 0NN20121N, 020121NNN, 0121NNN20
(189, 488), 00NNN1112, 0NN11120N, 011120NNN, 0120NNN11
(256, 456), 012102100, 010210012, 021001210, 000121021
(487, 455), 0NN22102N, 022102NNN, 0102NNN22, 02NNN2210
(421, 455), 012022010, 002201012, 020101202, 010120220
(58, 456), 010212200, 021220010, 022001021, 000102122
(388, 423), 010222010, 022201010, 020101022, 010102220
(289, 423), 022100201, 010020122, 002012210, 001221002
(91, 423), 012100102, 010010212, 001021210, 002121001
(58, 423), 001022010, 002201001, 020100102, 010010220
(454, 422), 020101012, 010101220, 010122010, 012201010
(256, 423), 001021120, 002112001, 011200102, 020010211
(355, 390), 010221102, 022110210, 011021022, 002102211
(25, 391), 0102NNN11, 02NNN1110, 0NN11102N, 011102NNN
(422, 390), 010101211, 010121110, 012111010, 011101012
(289, 390), 012002111, 000211112, 021111200, 011120021
(91, 390), 021001112, 000111221, 011122100, 012210011
(224, 357), 012120120, 012012012, 001201212, 020121201
(190, 357), 001212112, 021211201, 021120121, 012012121
(355, 357), 021011111, 001111121, 011112101, 011210111
(91, 325), 022111001, 011100122, 010012211, 001221110
(256, 324), 021102210, 010221021, 022102110, 010211022
(489, 323), 0NN11211N, 011211NNN, 0211NNN11, 01NNN1121
(191, 291), 022110211, 011021122, 002112211, 011221102
(158, 292), 001121221, 012122101, 012210112, 021011212
(91, 292), 012010102, 001010212, 001021201, 002120101
(59, 292), 000121010, 012101000, 010100012, 010001210
(423, 291), 012212101, 021210112, 021011221, 001122121
(290, 291), 021201121, 020112121, 011212120, 021212011
(92, 259), 021001120, 000112021, 011202100, 020210011
(26, 259), 0101NNN21, 01NNN2110, 0NN21101N, 021101NNN
(423, 257), 011021200, 002120011, 012001102, 000110212
(158, 226), 001220011, 022001101, 000110122, 011012200
(125, 226), 002202201, 020220102, 022010220, 001022022
(191, 226), 021120112, 012011221, 001122112, 012211201
(290, 225), 001211202, 021120201, 012020121, 002012112
(457, 224), 012100211, 010021112, 002111210, 011121002
(423, 224), 001012221, 001222101, 022210101, 021010122
(324, 225), 022120020, 012002022, 000202212, 020221200
(125, 193), 010022201, 002220110, 022011002, 001100222
(291, 192), 020012022, 001202220, 020222001, 022200120
(357, 191), 022202221, 020222122, 022212220, 021222022
(125, 160), 011022022, 002202211, 020221102, 022110220
(59, 160), 022221210, 022121022, 012102222, 010222212
(258, 159), 020221011, 022101120, 010112022, 011202210
(457, 157), 021121121, 012112121, 011212112, 021211211
(225, 126), 010120010, 012001010, 000101012, 010101200
(92, 127), 020201221, 020122120, 012212020, 021202012
(191, 126), 001212101, 021210101, 021010121, 001012121
(26, 94), 0212NNN02, 02NNN0221, 0NN02212N, 002212NNN
(192, 93), 010021011, 002101110, 010111002, 011100210
(291, 92), 012110122, 011012212, 001221211, 022121101
(258, 92), 001101112, 010111201, 011120110, 012011011
(491, 91), 0NN12102N, 012102NNN, 0102NNN12, 02NNN1210
(424, 91), 012111220, 011122012, 012201211, 020121112
(26, 62), 0220NNN11, 00NNN1122, 0NN11220N, 011220NNN
(159, 60), 010110220, 011022010, 002201011, 020101102
(126, 60), 001122222, 012222201, 022220112, 022011222
(458, 58), 020102202, 010220220, 022022010, 002201022
(358, 58), 021212011, 021201121, 020112121, 011212120
(325, 26), 010221NNN, 0221NNN10, 01NNN1022, 0NN10221N
(192, 27), 001102NNN, 0102NNN01, 02NNN0110, 0NN01102N
(225, 26), 011110NNN, 0110NNN11, 00NNN1111, 0NN11110N
(458, 24), 022022NNN, 0022NNN22, 02NNN2202, 0NN22022N
(354, 488), 12NNN2222, 1NN22222N, 122222NNN, 1222NNN22
(156, 488), 10NNN1211, 1NN12110N, 112110NNN, 1110NNN12
(25, 489), 12NNNNN20, 1NNNN202N, 1NN202NNN, 1202NNNNN
(255, 488), 12NNN0201, 1NN02012N, 102012NNN, 1012NNN02
(123, 489), 11NNN0121, 1NN01211N, 101211NNN, 1211NNN01
(288, 456), 122210002, 121000222, 100022221, 102222100
(90, 456), 121020001, 102000121, 100012102, 101210200
(453, 455), 102200102, 120010202, 101020220, 102022001
(189, 456), 120011221, 101122120, 112212001, 121200112
(156, 455), 110112122, 111212210, 121221011, 122101121
(222, 423), 100212212, 121221200, 122120021, 112002122
(123, 423), 121210021, 121002121, 100212121, 121212100
(421, 422), 101020101, 102010101, 101010102, 101010201
(157, 390), 122212220, 121222022, 122202221, 120222122
(388, 389), 101020021, 102002101, 100210102, 121010200
(322, 390), 102200110, 120011002, 101100220, 110022001
(222, 390), 120122001, 112200120, 120012012, 101201220
(58, 390), 100020111, 102011100, 101110002, 111000201
(454, 389), 122010111, 101011122, 101112201, 111220101
(58, 358), 110101210, 110121010, 112101010, 110101012
(25, 358), 1110NNN21, 10NNN2111, 1NN21110N, 121110NNN
(421, 357), 111012122, 101212211, 121221101, 122110121
(322, 358), 100101211, 110121100, 112110010, 111001012
(289, 357), 111021021, 102102111, 110211102, 121110210
(256, 357), 110210202, 121020210, 102021021, 102102102
(91, 358), 122011102, 101110222, 111022201, 102220111
(488, 356), 1NN21120N, 121120NNN, 1120NNN21, 10NNN2112
(455, 356), 112101220, 110122012, 112201210, 120121012
(58, 325), 101112100, 111210001, 121000111, 100011121
(322, 325), 110112021, 111202110, 120211011, 121101120
(190, 324), 120021002, 102100220, 110022002, 102200210
(157, 325), 110222100, 122210010, 121001022, 100102221
(389, 324), 121201120, 120112021, 111202120, 120212011
(356, 324), 112011212, 101121212, 112121201, 112120112
(25, 293), 1012NNN01, 12NNN0101, 1NN01012N, 101012NNN
(489, 291), 1NN02112N, 102112NNN, 1112NNN02, 12NNN0211
(356, 291), 121112121, 111212121, 121212111, 121211121
(256, 291), 102022112, 102211202, 121120202, 112020221
(124, 292), 101200022, 120002201, 100220120, 122012000
(455, 291), 110220012, 122001210, 100121022, 112102200
(223, 258), 111201021, 120102111, 110211120, 121112010
(58, 259), 100010212, 101021200, 102120001, 112000102
(456, 257), 121100001, 110000121, 100012110, 101211000
(389, 257), 100212220, 121222000, 122200021, 120002122
(257, 258), 120121210, 112121020, 112102012, 110201212
(190, 258), 112002002, 100200212, 120021200, 102120020
(323, 257), 121202002, 120200221, 120022120, 102212020
(58, 226), 120102222, 110222220, 122222010, 122201022
(257, 225), 102112220, 111222002, 122200211, 120021122
(489, 224), 1NN21011N, 121011NNN, 1011NNN21, 11NNN2101
(191, 193), 122001121, 100112122, 111212200, 121220011
(158, 193), 110000012, 100001210, 100121000, 112100000
(456, 191), 111002102, 100210211, 121021100, 102110021
(489, 190), 1NN10102N, 110102NNN, 1102NNN10, 12NNN1010
(26, 161), 1022NNN21, 12NNN2102, 1NN21022N, 121022NNN
(224, 159), 102212001, 121200102, 120010221, 101022120
(158, 159), 121100220, 110022021, 102202110, 120211002
(423, 157), 101221112, 122111201, 111120122, 112012211
(390, 158), 112202111, 120211112, 121111220, 111122021
(59, 127), 102012022, 101202202, 120220201, 122020120
(390, 125), 111121210, 112121011, 112101112, 110111212
(357, 125), 111222121, 122212111, 121211122, 121112221
(291, 125), 122201001, 120100122, 110012220, 101222010
(257, 125), 112010100, 101010012, 101001201, 100120101
(490, 124), 1NN20210N, 120210NNN, 1210NNN20, 10NNN2021
(424, 124), 120111101, 111110120, 111012011, 101201111
(224, 94), 101000111, 100011101, 101110100, 111010001
(158, 93), 100221001, 122100100, 110010022, 101002210
(125, 93), 112202200, 120220012, 122001220, 100122022
(457, 91), 101210202, 121020201, 102020121, 102012102
(324, 92), 121210220, 121022021, 102202121, 120212102
(391, 91), 101112022, 111202201, 120220111, 122011120
(225, 60), 110101001, 110100110, 110011010, 101101010
(191, 60), 111010200, 101020011, 102001101, 100110102
(258, 59), 120011011, 101101120, 110112001, 111200110
(59, 28), 122201NNN, 1201NNN22, 11NNN2220, 1NN22201N
(26, 29), 1120NNNNN, 10NNNNN12, 1NNNN120N, 1NN120NNN
(291, 25), 102211NNN, 1211NNN02, 11NNN0221, 1NN02211N
(258, 27), 112110NNN, 1110NNN12, 10NNN1211, 1NN12110N
(391, 25), 122201NNN, 1201NNN22, 11NNN2220, 1NN22201N
(358, 25), 112020NNN, 1020NNN12, 10NNN1202, 1NN12020N
(58, 489), 20NNN1201, 2NN12010N, 212010NNN, 2010NNN12
(453, 488), 22NNN0010, 2NN00102N, 200102NNN, 2102NNN00
(288, 489), 22NNN1012, 2NN10122N, 210122NNN, 2122NNN10
(487, 488), 2NNNN210N, 2NN210NNN, 2210NNNNN, 20NNNNN21
(388, 488), 20NNN1220, 2NN12200N, 212200NNN, 2200NNN12
(321, 489), 21NNN2122, 2NN21221N, 221221NNN, 2221NNN21
(124, 456), 211101012, 210101211, 210121110, 212111010
(355, 455), 222122220, 212222022, 222202212, 220221222
(321, 456), 221221022, 222102221, 210222122, 222212210
(25, 456), 2021NNN20, 21NNN2002, 2NN20021N, 220021NNN
(388, 455), 200212201, 221220100, 222010021, 201002122
(222, 455), 201001210, 200121001, 212100100, 210010012
(322, 423), 222210010, 221001022, 200102221, 210222100
(157, 423), 221121212, 212121221, 212122112, 212211212
(355, 423), 202222101, 222210102, 221010222, 201022221
(190, 423), 212112121, 211212112, 221211211, 221121121
(25, 424), 2002NNN01, 22NNN0100, 2NN01002N, 201002NNN
(487, 422), 2NN01012N, 201012NNN, 2012NNN01, 22NNN0101
(190, 390), 211221200, 222120011, 212001122, 200112212
(256, 390), 200011011, 201101100, 210110001, 211000110
(124, 390), 212100122, 210012212, 201221210, 222121001
(488, 389), 2NN20111N, 220111NNN, 2111NNN20, 21NNN2011
(124, 358), 221201021, 220102121, 210212120, 221212010
(157, 358), 202122211, 212221102, 222110212, 211021222
(389, 356), 210100112, 210011210, 201121010, 212101001
(125, 325), 212210010, 221001012, 200101221, 210122100
(290, 324), 211110102, 211010211, 201021111, 202111101
(25, 325), 2111NNN10, 21NNN1011, 2NN10111N, 210111NNN
(224, 324), 201001021, 200102101, 210210100, 221010010
(456, 323), 201112011, 211201101, 220110111, 211011120
(422, 323), 221121201, 212120121, 212012112, 201211212
(224, 292), 210210111, 221011110, 201111021, 211102101
(390, 291), 202111210, 211121002, 212100211, 210021112
(323, 291), 211120212, 212021211, 202121112, 212111202
(290, 258), 212011100, 201110012, 211001201, 200120111
(157, 259), 210012000, 201200010, 220001001, 200100120
(125, 259), 220100200, 210020020, 202002010, 200201002
(490, 257), 2NN11101N, 211101NNN, 2101NNN11, 21NNN1110
(357, 258), 212121022, 212102212, 210221212, 222121210
(224, 225), 211110122, 211012211, 201221111, 222111101
(92, 226), 202011220, 201122002, 212200201, 220020112
(26, 226), 2110NNN22, 20NNN2211, 2NN22110N, 222110NNN
(390, 224), 200122022, 212202200, 220220012, 222001220
(357, 225), 221210202, 221020221, 202022121, 202212102
(26, 194), 2212NNN10, 22NNN1021, 2NN10212N, 210212NNN
(59, 194), 222122102, 212210222, 221022212, 202221221
(257, 192), 200122102, 212210200, 221020012, 202001221
(224, 192), 221201210, 220121021, 212102120, 210212012
(92, 193), 200212020, 221202000, 220200021, 220002120
(424, 191), 210022110, 202211010, 221101002, 210100221
(324, 192), 202000222, 200022202, 202220200, 222020002
(390, 191), 220220211, 222021120, 202112022, 211202202
(191, 159), 212111200, 211120012, 212001211, 200121112
(358, 158), 212022211, 202221112, 222111202, 211120222
(324, 159), 220202121, 220212120, 221212020, 221202021
(92, 160), 200220102, 222010200, 201020022, 202002201
(291, 158), 222020112, 202011222, 201122202, 212220201
(490, 157), 2NN11021N, 211021NNN, 2021NNN11, 21NNN1102
(26, 128), 2101NNN02, 21NNN0210, 2NN02101N, 202101NNN
(125, 127), 221020211, 202021121, 202112102, 211210202
(158, 126), 202102110, 210211002, 221100210, 210021021
(457, 125), 212011010, 201101012, 210101201, 210120110
(324, 125), 212221012, 222101212, 210121222, 212122210
(92, 94), 212012220, 201222012, 222201201, 220120122
(60, 94), 220120022, 212002220, 200222012, 222201200
(358, 92), 211121202, 212120211, 212021112, 202111212
(92, 61), 201222122, 222212201, 221220122, 222012221
(60, 61), 222200112, 220011222, 201122220, 212222001
(425, 58), 201012120, 201212001, 221200101, 220010121
(325, 59), 202102101, 210210102, 221010210, 201021021
(291, 59), 221001110, 200111021, 211102100, 210210011
(491, 58), 2NN01002N, 201002NNN, 2002NNN01, 22NNN0100
(392, 58), 220120112, 212011220, 201122012, 212201201
