-------- ENCODAGE MIRE ORIGINALE --------
-------- ((x,y),(codage_voisin_0_degree),(codage_voisin_90_degree),(codage_voisin_180_degree),(codage_voisin_270_degree)) --------

(415, 479), 02NNN1210, 0NN12102N, 012102NNN, 0102NNN12
(191, 479), 01NNN1121, 0NN11211N, 011211NNN, 0211NNN11
(63, 479), 02NNN2210, 0NN22102N, 022102NNN, 0102NNN22
(479, 447), 0NN22022N, 022022NNN, 0022NNN22, 02NNN2202
(447, 447), 002201022, 020102202, 010220220, 022022010
(351, 447), 021211211, 021121121, 012112121, 011212112
(287, 447), 011121002, 012100211, 010021112, 002111210
(95, 447), 012201010, 020101012, 010101220, 010122010
(415, 415), 020121112, 012111220, 011122012, 012201211
(287, 415), 021010122, 001012221, 001222101, 022210101
(255, 415), 000110212, 011021200, 002120011, 012001102
(223, 415), 001122121, 012212101, 021210112, 021011221
(127, 415), 011101012, 010101211, 010121110, 012111010
(63, 415), 010120220, 012022010, 002201012, 020101202
(31, 415), 0012NNN22, 02NNN2201, 0NN22012N, 022012NNN
(95, 383), 010102220, 010222010, 022201010, 020101022
(447, 351), 011212120, 021212011, 021201121, 020112121
(319, 351), 021222022, 022202221, 020222122, 022212220
(159, 351), 011210111, 021011111, 001111121, 011112101
(127, 351), 002102211, 010221102, 022110210, 011021022
(479, 319), 0NN10221N, 010221NNN, 0221NNN10, 01NNN1022
(287, 319), 020221200, 022120020, 012002022, 000202212
(415, 287), 022121101, 012110122, 011012212, 001221211
(319, 287), 022200120, 020012022, 001202220, 020222001
(287, 287), 002012112, 001211202, 021120201, 012020121
(223, 287), 021212011, 021201121, 020112121, 011212120
(127, 287), 011120021, 012002111, 000211112, 021111200
(95, 287), 001221002, 022100201, 010020122, 002012210
(415, 255), 012011011, 001101112, 010111201, 011120110
(351, 255), 011202210, 020221011, 022101120, 010112022
(191, 255), 010211022, 021102210, 010221021, 022102110
(95, 255), 020010211, 001021120, 002112001, 011200102
(63, 255), 000121021, 012102100, 010210012, 021001210
(479, 223), 0NN11110N, 011110NNN, 0110NNN11, 00NNN1111
(383, 223), 010101200, 010120010, 012001010, 000101012
(159, 223), 020121201, 012120120, 012012012, 001201212
(31, 223), 0201NNN01, 01NNN0120, 0NN01201N, 001201NNN
(479, 191), 0NN01102N, 001102NNN, 0102NNN01, 02NNN0110
(415, 191), 011100210, 010021011, 002101110, 010111002
(383, 191), 001012121, 001212101, 021210101, 021010121
(287, 191), 012211201, 021120112, 012011221, 001122112
(223, 191), 011221102, 022110211, 011021122, 002112211
(159, 191), 012012121, 001212112, 021211201, 021120121
(31, 191), 0120NNN11, 00NNN1112, 0NN11120N, 011120NNN
(447, 159), 020101102, 010110220, 011022010, 002201011
(287, 159), 011012200, 001220011, 022001101, 000110122
(223, 159), 021011212, 001121221, 012122101, 012210112
(447, 127), 022011221, 001122122, 012212201, 021220112
(351, 127), 022110220, 011022022, 002202211, 020221102
(319, 127), 001100222, 010022201, 002220110, 022011002
(287, 127), 001022022, 002202201, 020220102, 022010220
(383, 95), 021202012, 020201221, 020122120, 012212020
(255, 95), 020210011, 021001120, 000112021, 011202100
(223, 95), 002120101, 012010102, 001010212, 001021201
(191, 95), 001221110, 022111001, 011100122, 010012211
(127, 95), 012210011, 021001112, 000111221, 011122100
(95, 95), 002121001, 012100102, 010010212, 001021210
(31, 95), 0121NNN20, 01NNN2012, 0NN20121N, 020121NNN
(351, 63), 010222212, 022221210, 022121022, 012102222
(223, 63), 010001210, 000121010, 012101000, 010100012
(95, 63), 010010220, 001022010, 002201001, 020100102
(63, 63), 000102122, 010212200, 021220010, 022001021
(447, 31), 011220NNN, 0220NNN11, 00NNN1122, 0NN11220N
(415, 31), 002212NNN, 0212NNN02, 02NNN0221, 0NN02212N
(255, 31), 021101NNN, 0101NNN21, 01NNN2110, 0NN21101N
(127, 31), 011102NNN, 0102NNN11, 02NNN1110, 0NN11102N
(383, 479), 10NNN2021, 1NN20210N, 120210NNN, 1210NNN20
(319, 479), 12NNN1010, 1NN10102N, 110102NNN, 1102NNN10
(287, 479), 11NNN2101, 1NN21011N, 121011NNN, 1011NNN21
(223, 479), 12NNN0211, 1NN02112N, 102112NNN, 1112NNN02
(159, 479), 10NNN2112, 1NN21120N, 121120NNN, 1120NNN21
(415, 447), 102012102, 101210202, 121020201, 102020121
(319, 447), 102110021, 111002102, 100210211, 121021100
(255, 447), 101211000, 121100001, 110000121, 100012110
(223, 447), 112102200, 110220012, 122001210, 100121022
(159, 447), 120121012, 112101220, 110122012, 112201210
(127, 447), 111220101, 122010111, 101011122, 101112201
(63, 447), 102022001, 102200102, 120010202, 101020220
(383, 415), 101201111, 120111101, 111110120, 111012011
(351, 415), 112012211, 101221112, 122111201, 111120122
(159, 415), 122110121, 111012122, 101212211, 121221101
(95, 415), 101010201, 101020101, 102010101, 101010102
(479, 383), 1NN22201N, 122201NNN, 1201NNN22, 11NNN2220
(415, 383), 122011120, 101112022, 111202201, 120220111
(383, 383), 110111212, 111121210, 112121011, 112101112
(351, 383), 111122021, 112202111, 120211112, 121111220
(255, 383), 120002122, 100212220, 121222000, 122200021
(191, 383), 120212011, 121201120, 120112021, 111202120
(127, 383), 121010200, 101020021, 102002101, 100210102
(479, 351), 1NN12020N, 112020NNN, 1020NNN12, 10NNN1202
(383, 351), 121112221, 111222121, 122212111, 121211122
(223, 351), 121211121, 121112121, 111212121, 121212111
(191, 351), 112120112, 112011212, 101121212, 112121201
(31, 351), 1222NNN22, 12NNN2222, 1NN22222N, 122222NNN
(415, 319), 120212102, 121210220, 121022021, 102202121
(255, 319), 102212020, 121202002, 120200221, 120022120
(191, 319), 121101120, 110112021, 111202110, 120211011
(159, 319), 111001012, 100101211, 110121100, 112110010
(127, 319), 110022001, 102200110, 120011002, 101100220
(479, 287), 1NN02211N, 102211NNN, 1211NNN02, 11NNN0221
(383, 287), 101222010, 122201001, 120100122, 110012220
(159, 287), 121110210, 111021021, 102102111, 110211102
(63, 287), 102222100, 122210002, 121000222, 100022221
(479, 255), 1NN12110N, 112110NNN, 1110NNN12, 10NNN1211
(447, 255), 111200110, 120011011, 101101120, 110112001
(383, 255), 100120101, 112010100, 101010012, 101001201
(287, 255), 120021122, 102112220, 111222002, 122200211
(255, 255), 110201212, 120121210, 112121020, 112102012
(223, 255), 112020221, 102022112, 102211202, 121120202
(159, 255), 102102102, 110210202, 121020210, 102021021
(31, 255), 1012NNN02, 12NNN0201, 1NN02012N, 102012NNN
(447, 223), 101101010, 110101001, 110100110, 110011010
(415, 223), 111010001, 101000111, 100011101, 101110100
